"timestamp", "dataset", "name", "split", "acc_mean", "acc_std", "n_way", "n_shot", "n_query"
20231209-125619,tabula_muris,relationnet_5w_5s_cosine_mean_2lg_1lf,test,78.51111111111112,11.085370183208381,5,5,15
20231209-125903,tabula_muris,relationnet_5w_5s_euclidean_mean_7lg_2lf,train,97.94888888888889,2.9829730798419436,5,5,15
20231209-125903,tabula_muris,relationnet_5w_5s_euclidean_mean_7lg_2lf,val,87.94444444444444,8.002954701272355,5,5,15
20231209-125903,tabula_muris,relationnet_5w_5s_euclidean_mean_7lg_2lf,test,86.41777777777777,8.523447977907695,5,5,15
20231209-130143,tabula_muris,relationnet_5w_5s_euclidean_mean_7lg_1lf,train,97.78222222222222,3.4598194486539255,5,5,15
20231209-130143,tabula_muris,relationnet_5w_5s_euclidean_mean_7lg_1lf,val,86.59555555555555,9.379614354124522,5,5,15
20231209-130143,tabula_muris,relationnet_5w_5s_euclidean_mean_7lg_1lf,test,86.88,8.085953069183438,5,5,15
20231209-130420,tabula_muris,relationnet_5w_5s_euclidean_mean_2lg_2lf,train,97.93777777777778,3.017329372675426,5,5,15
20231209-130420,tabula_muris,relationnet_5w_5s_euclidean_mean_2lg_2lf,val,87.96,8.030582285977268,5,5,15
20231209-130420,tabula_muris,relationnet_5w_5s_euclidean_mean_2lg_2lf,test,86.41777777777779,8.577160599558416,5,5,15
20231209-130728,tabula_muris,relationnet_5w_5s_euclidean_mean_2lg_1lf,train,97.78222222222222,3.4598194486539255,5,5,15
20231209-130728,tabula_muris,relationnet_5w_5s_euclidean_mean_2lg_1lf,val,86.59555555555555,9.38308854361313,5,5,15
20231209-130728,tabula_muris,relationnet_5w_5s_euclidean_mean_2lg_1lf,test,86.88,8.08668590269765,5,5,15
20231209-131019,tabula_muris,relationnet_5w_5s_fc-conc_mean_7lg_2lf,train,93.8888888888889,7.0477384517269535,5,5,15
20231209-131019,tabula_muris,relationnet_5w_5s_fc-conc_mean_7lg_2lf,val,80.18888888888888,11.176292147793896,5,5,15
20231209-131019,tabula_muris,relationnet_5w_5s_fc-conc_mean_7lg_2lf,test,78.01777777777778,10.955518593582003,5,5,15
20231209-131315,tabula_muris,relationnet_5w_5s_fc-conc_mean_7lg_1lf,train,93.79555555555557,8.195372376839368,5,5,15
20231209-131315,tabula_muris,relationnet_5w_5s_fc-conc_mean_7lg_1lf,val,78.48666666666666,11.81086317289676,5,5,15
20231209-131315,tabula_muris,relationnet_5w_5s_fc-conc_mean_7lg_1lf,test,75.79333333333334,11.589597506832167,5,5,15
20231209-131554,tabula_muris,relationnet_5w_5s_fc-conc_mean_2lg_2lf,train,96.67555555555555,4.567185155751143,5,5,15
20231209-131554,tabula_muris,relationnet_5w_5s_fc-conc_mean_2lg_2lf,val,80.63111111111112,10.711513132151168,5,5,15
20231209-131554,tabula_muris,relationnet_5w_5s_fc-conc_mean_2lg_2lf,test,79.61555555555555,9.789051833679762,5,5,15
20231209-131857,tabula_muris,relationnet_5w_5s_fc-conc_mean_2lg_1lf,train,93.70666666666666,6.630783429496767,5,5,15
20231209-131857,tabula_muris,relationnet_5w_5s_fc-conc_mean_2lg_1lf,val,80.21111111111111,11.892849807477175,5,5,15
20231209-131857,tabula_muris,relationnet_5w_5s_fc-conc_mean_2lg_1lf,test,74.71111111111111,11.671469910707186,5,5,15
20231209-132157,tabula_muris,relationnet_5w_5s_fc-diff_mean_7lg_2lf,train,96.66444444444446,4.579502911188097,5,5,15
20231209-132158,tabula_muris,relationnet_5w_5s_fc-diff_mean_7lg_2lf,val,86.6111111111111,9.473230640358764,5,5,15
20231209-132158,tabula_muris,relationnet_5w_5s_fc-diff_mean_7lg_2lf,test,83.37777777777778,10.32499065853163,5,5,15
20231209-132445,tabula_muris,relationnet_5w_5s_fc-diff_mean_7lg_1lf,train,96.94444444444446,4.427509402155216,5,5,15
20231209-132445,tabula_muris,relationnet_5w_5s_fc-diff_mean_7lg_1lf,val,85.14888888888889,9.516538171280148,5,5,15
20231209-132445,tabula_muris,relationnet_5w_5s_fc-diff_mean_7lg_1lf,test,81.06888888888888,10.517484325788647,5,5,15
20231209-132724,tabula_muris,relationnet_5w_5s_fc-diff_mean_2lg_2lf,train,97.20444444444445,4.468952427859256,5,5,15
20231209-132724,tabula_muris,relationnet_5w_5s_fc-diff_mean_2lg_2lf,val,80.00222222222223,11.51861595766813,5,5,15
20231209-132724,tabula_muris,relationnet_5w_5s_fc-diff_mean_2lg_2lf,test,72.85111111111111,13.400775912674922,5,5,15
20231209-133016,tabula_muris,relationnet_5w_5s_fc-diff_mean_2lg_1lf,train,95.91555555555556,5.260500844577679,5,5,15
20231209-133016,tabula_muris,relationnet_5w_5s_fc-diff_mean_2lg_1lf,val,79.81555555555555,12.280368957339803,5,5,15
20231209-133016,tabula_muris,relationnet_5w_5s_fc-diff_mean_2lg_1lf,test,68.28444444444445,14.718765380322756,5,5,15
20231209-133253,tabula_muris,relationnet_5w_5s_l1_mean_7lg_2lf,train,97.32444444444445,3.537721942607966,5,5,15
20231209-133253,tabula_muris,relationnet_5w_5s_l1_mean_7lg_2lf,val,88.64222222222223,7.7821825622442695,5,5,15
20231209-133253,tabula_muris,relationnet_5w_5s_l1_mean_7lg_2lf,test,86.87777777777778,8.344784724530973,5,5,15
20231209-133540,tabula_muris,relationnet_5w_5s_l1_mean_7lg_1lf,train,98.36444444444446,2.822750606705155,5,5,15
20231209-133540,tabula_muris,relationnet_5w_5s_l1_mean_7lg_1lf,val,86.99777777777778,8.933996382248244,5,5,15
20231209-133540,tabula_muris,relationnet_5w_5s_l1_mean_7lg_1lf,test,87.07777777777778,7.584771943315024,5,5,15
20231209-133819,tabula_muris,relationnet_5w_5s_l1_mean_2lg_2lf,train,97.4688888888889,3.4110054272444894,5,5,15
20231209-133819,tabula_muris,relationnet_5w_5s_l1_mean_2lg_2lf,val,88.64888888888889,7.512930746057876,5,5,15
20231209-133819,tabula_muris,relationnet_5w_5s_l1_mean_2lg_2lf,test,86.5488888888889,8.30284526570096,5,5,15
20231209-134126,tabula_muris,relationnet_5w_5s_l1_mean_2lg_1lf,train,98.32222222222221,2.972943837634407,5,5,15
20231209-134126,tabula_muris,relationnet_5w_5s_l1_mean_2lg_1lf,val,87.12888888888888,8.859377677890597,5,5,15
20231209-134126,tabula_muris,relationnet_5w_5s_l1_mean_2lg_1lf,test,86.64888888888889,7.712595438311395,5,5,15
20231209-134410,tabula_muris,relationnet_5w_5s_cosine_sum_7lg_2lf,train,90.07555555555555,9.000752780589186,5,5,15
20231209-134410,tabula_muris,relationnet_5w_5s_cosine_sum_7lg_2lf,val,84.56222222222223,9.227064592147078,5,5,15
20231209-134410,tabula_muris,relationnet_5w_5s_cosine_sum_7lg_2lf,test,79.59777777777778,10.439014900782805,5,5,15
20231209-134651,tabula_muris,relationnet_5w_5s_cosine_sum_7lg_1lf,train,90.81333333333333,8.309341463410659,5,5,15
